car_make,car_model,year,engine_size,horsepower,acceleration_time,price,mileage
Audi,S5,2022,3.0,349.0,4.4,52500,27429.0
McLaren,600LT,2021,4.0,592.0,2.8,241000,36565.0
BMW,M5,2022,4.0,600.0,3.2,103500,19000.0
Aston Martin,Vantage,2022,4.0,503.0,3.5,146000,35997.0
Audi,RS5,2021,3.0,444.0,3.6,75400,35000.0
BMW,M2,2022,3.0,405.0,4.0,58900,42857.0
Chevrolet,Camaro SS,2021,6.0,455.0,4.0,42900,29808.0
Dodge,Challenger SRT Hellcat Redeye,2022,6.0,797.0,3.4,78595,45110.0
Ford,GT,2021,4.0,660.0,3.0,500000,41361.0
Jaguar,F-Type,2022,2.0,296.0,5.4,62750,27244.0
Lamborghini,Aventador,2021,6.0,770.0,2.9,417826,36565.0
Maserati,GranTurismo,2021,5.0,454.0,4.7,150980,36565.0
McLaren,Artura,2022,3.0,671.0,3.0,225000,35997.0
Mercedes-Benz,C63 AMG,2021,4.0,503.0,3.8,70100,30256.0
Nissan,370Z,2021,4.0,332.0,5.0,30090,54517.0
Porsche,Panamera,2022,3.0,325.0,5.3,88700,38500.0
Audi,TT RS,2021,2.0,394.0,3.6,67600,39419.0
BMW,M4,2022,3.0,473.0,4.1,72800,44750.0
Chevrolet,Corvette Stingray,2021,6.0,490.0,2.8,59900,29808.0
Ferrari,F8 Tributo,2021,4.0,710.0,2.8,274280,36565.0
Ford,Mustang Mach 1,2021,5.0,480.0,4.3,52915,41361.0
Lamborghini,Urus,2021,4.0,641.0,3.6,218009,36565.0
Porsche,718 Cayman,2022,2.0,300.0,4.5,61000,38140.0
Acura,NSX,2022,4.0,573.0,2.9,159495,70741.0
Aston Martin,Vantage,2022,4.0,503.0,3.5,142086,35997.0
Bentley,Continental GT,2021,6.0,626.0,3.3,219800,36565.0
Bugatti,Chiron,2022,8.0,1500.0,2.4,3000000,35997.0
Dodge,Challenger SRT Hellcat Redeye,2022,6.0,797.0,3.4,74290,45110.0
Jaguar,F-Type,2022,3.0,380.0,4.9,71900,27244.0
Koenigsegg,Jesko,2022,5.0,1600.0,2.5,3000000,35997.0
Lexus,LC 500,2022,5.0,471.0,4.4,92950,57561.0
Lotus,Evora GT,2021,4.0,416.0,3.8,105000,36565.0
Maserati,GranTurismo,2022,5.0,454.0,4.7,134300,35997.0
Mazda,MX-5 Miata,2021,2.0,181.0,6.5,26830,30283.0
McLaren,GT,2022,4.0,620.0,3.1,213195,35997.0
Mercedes-Benz,SLS AMG,2015,6.0,622.0,3.7,221580,30256.0
Pagani,Huayra,2022,6.0,764.0,2.8,2800000,35997.0
Porsche,718 Cayman GT4,2022,4.0,414.0,4.2,100550,38140.0
Rolls-Royce,Wraith,2021,7.0,624.0,4.4,330000,36565.0
Toyota,Supra,2022,3.0,382.0,3.9,43090,22857.0
W Motors,Fenyr Supersport,2022,4.0,800.0,2.7,1700000,35997.0
Porsche,718 Cayman,2022,2.0,300.0,4.7,60500,38140.0
Lamborghini,Aventador,2021,6.0,770.0,2.9,522000,36565.0
Ferrari,SF90 Stradale,2021,4.0,986.0,2.5,625000,36565.0
Audi,TT RS,2022,2.0,394.0,3.4,67000,39419.0
McLaren,GT,2021,4.0,612.0,3.1,212500,36565.0
BMW,M4,2022,3.0,503.0,3.8,75000,44750.0
Mercedes-Benz,SL 63 AMG,2021,4.0,603.0,3.5,155000,30256.0
Chevrolet,Camaro ZL1,2021,6.0,650.0,3.5,64000,29808.0
Ford,GT,2022,4.0,660.0,2.8,500000,41361.0
Nissan,370Z,2021,4.0,332.0,4.7,31015,54517.0
Aston Martin,DBS Superleggera,2021,5.0,715.0,3.4,304995,36565.0
Bugatti,Chiron,2021,8.0,1500.0,2.4,3000000,36565.0
Lotus,Evora GT,2021,4.0,416.0,3.8,105000,36565.0
McLaren,570S,2021,4.0,562.0,3.2,192500,36565.0
Porsche,Panamera Turbo S E-Hybrid,2021,4.0,690.0,3.2,190000,38140.0
Lamborghini,Urus,2021,4.0,641.0,3.6,222000,36565.0
Ferrari,Roma,2021,4.0,611.0,3.3,222000,36565.0
Audi,RS7,2021,4.0,591.0,3.5,115000,39419.0
BMW,M2,2022,3.0,405.0,4.2,59000,42857.0
Porsche,Cayman GT4,2022,4.0,414.0,4.2,102100,38140.0
Lamborghini,Aventador,2021,6.0,730.0,2.9,417826,36565.0
Aston Martin,DBS Superleggera,2021,5.0,715.0,3.2,304995,36565.0
Bentley,Continental GT,2021,6.0,626.0,3.6,220300,36565.0
Audi,RS7,2022,4.0,591.0,3.5,114000,39419.0
Mercedes-Benz,SLS AMG,2021,6.0,622.0,3.7,239100,30256.0
McLaren,570S,2021,4.0,562.0,3.1,192500,36565.0
BMW,M2,2022,3.0,405.0,4.0,58900,42857.0
Chevrolet,Camaro ZL1,2021,6.0,650.0,3.5,62500,29808.0
Dodge,Challenger SRT Hellcat,2021,6.0,717.0,3.5,65290,45110.0
Ferrari,Portofino,2021,4.0,592.0,3.5,219750,36565.0
Porsche,Panamera Turbo S,2022,4.0,620.0,2.9,187700,38140.0
Lamborghini,Urus,2021,4.0,641.0,3.6,222004,36565.0
Mercedes-Benz,AMG C63,2021,4.0,469.0,3.8,71350,30256.0
Aston Martin,Vantage,2021,4.0,503.0,3.6,146000,36565.0
Audi,S5,2022,3.0,349.0,4.4,52500,27429.0
Porsche,Cayman,2022,2.0,365.0,4.5,68900,41833.0
Lamborghini,Aventador,2021,6.0,730.0,2.8,517770,36565.0
Ferrari,F8 Tributo,2022,4.0,710.0,2.9,276550,35997.0
Audi,TT RS,2021,2.0,394.0,3.6,67600,39419.0
McLaren,570S,2021,4.0,562.0,3.1,192500,36565.0
BMW,Z4 M40i,2022,3.0,382.0,3.9,63700,38354.0
Mercedes-Benz,SLS AMG,2015,6.0,622.0,3.7,221580,30256.0
Chevrolet,Camaro SS,2022,6.0,455.0,4.1,44000,29808.0
Ford,Mustang Mach 1,2021,5.0,480.0,4.0,51720,41361.0
Nissan,370Z Nismo,2021,4.0,350.0,4.9,45790,46558.0
Porsche,Panamera,2022,3.0,325.0,5.4,88550,38500.0
Lamborghini,Urus,2021,4.0,641.0,3.5,218009,36565.0
Ferrari,Roma,2021,4.0,612.0,3.3,222620,36565.0
Audi,RS 3,2022,2.0,401.0,3.6,56200,39419.0
McLaren,GT,2021,4.0,612.0,3.2,200000,36565.0
BMW,M2 CS,2022,3.0,444.0,3.8,84595,38354.0
Mercedes-Benz,AMG C63,2021,4.0,503.0,3.8,77500,30256.0
Chevrolet,Camaro ZL1,2021,6.0,650.0,3.5,62500,29808.0
Acura,NSX,2021,4.0,573.0,2.7,157500,70741.0
Aston Martin,DB11,2022,4.0,503.0,3.7,204100,35997.0
Bentley,Continental GT,2021,6.0,626.0,3.4,220300,36565.0
Bugatti,Chiron,2021,8.0,1500.0,2.4,3000000,36565.0
Dodge,Viper,2017,8.0,645.0,3.3,120000,45110.0
Jaguar,F-Type,2022,3.0,380.0,4.9,69900,27244.0
Koenigsegg,Jesko,2022,5.0,1600.0,2.5,3000000,35997.0
Lexus,LC 500,2022,5.0,471.0,4.4,92950,57561.0
Lotus,Evora GT,2021,4.0,416.0,3.8,105950,36565.0
Maserati,GranTurismo,2020,5.0,454.0,4.8,150000,34149.0
McLaren,570S,2020,4.0,562.0,3.1,204550,34149.0
Pagani,Huayra,2020,6.0,720.0,3.0,2700000,34149.0
Porsche,Cayman GT4,2022,4.0,414.0,4.2,102900,38140.0
Rolls-Royce,Wraith,2021,7.0,624.0,4.3,330000,36565.0
Toyota,GR Supra,2022,3.0,382.0,3.9,43090,30737.0
TVR,Griffith,2022,5.0,500.0,3.8,123500,35997.0
W Motors,Lykan Hypersport,2015,4.0,780.0,2.8,3400000,57047.0
Porsche,718 Cayman,2021,2.0,300.0,4.5,61500,38140.0
Lamborghini,Aventador SVJ,2021,6.0,770.0,2.8,518000,36565.0
Ferrari,SF90 Stradale,2022,4.0,986.0,2.5,507000,35997.0
Audi,RS 6,2021,4.0,591.0,3.5,109000,39419.0
McLaren,GT,2021,4.0,612.0,3.1,210000,36565.0
BMW,M2 CS,2022,3.0,444.0,3.8,84595,38354.0
Mercedes-Benz,SLS AMG,2015,6.0,622.0,3.6,228000,30256.0
Chevrolet,Camaro SS,2021,6.0,455.0,4.0,42000,29808.0
Ford,GT,2022,4.0,660.0,2.8,500000,41361.0
Nissan,370Z Nismo,2021,4.0,350.0,5.0,45000,46558.0
Lamborghini,Urus,2021,4.0,641.0,3.6,222004,36565.0
Ferrari,F8 Tributo,2021,4.0,710.0,2.9,276550,36565.0
Audi,RS 3,2022,2.0,401.0,3.5,56000,39419.0
McLaren,570S,2021,4.0,562.0,3.1,191000,36565.0
BMW,M5,2022,4.0,600.0,3.2,104000,19000.0
Mercedes-Benz,AMG C 63,2021,4.0,469.0,3.9,69900,30256.0
Chevrolet,Camaro ZL1,2021,6.0,650.0,3.5,64000,29808.0
Porsche,Taycan,2022,2.0,402.0,5.1,81250,38140.0
Lamborghini,Aventador,2021,6.0,730.0,2.9,517700,36565.0
Aston Martin,DBS Superleggera,2022,5.0,715.0,3.4,330000,35997.0
Audi,RS 6 Avant,2021,4.0,591.0,3.5,109000,39419.0
McLaren,600LT,2021,4.0,592.0,2.8,242500,36565.0
Mercedes-AMG,C 63 S Coupe,2022,4.0,503.0,3.7,77000,35997.0
BMW,M4,2022,3.0,473.0,4.1,72800,44750.0
Chevrolet,Camaro ZL1,2021,6.0,650.0,3.5,62000,29808.0
Dodge,Challenger SRT Hellcat Redeye,2022,6.0,797.0,3.5,76000,45110.0
Ford,GT,2022,4.0,660.0,2.9,500000,41361.0
Nissan,370Z,2021,4.0,332.0,4.9,30090,54517.0
Porsche,Panamera,2022,3.0,325.0,5.3,87200,38500.0
Lamborghini,Urus,2021,4.0,641.0,3.5,218000,36565.0
Bugatti,Chiron,2021,8.0,1500.0,2.3,3000000,36565.0
Ferrari,F8 Tributo,2021,4.0,710.0,2.9,274280,36565.0
Audi,RS 7,2021,4.0,591.0,3.5,114000,39419.0
McLaren,570S,2021,4.0,562.0,3.1,191000,36565.0
Aston Martin,Vantage,2022,4.0,503.0,3.5,142086,35997.0
Jaguar,F-Type,2022,5.0,575.0,3.5,103200,27244.0
Porsche,Panamera Turbo S,2021,4.0,620.0,2.9,177700,38140.0
Lamborghini,Aventador S,2021,6.0,729.0,2.9,417650,36565.0
Ferrari,SF90 Stradale,2021,4.0,986.0,2.5,625000,36565.0
Audi,RS7,2022,4.0,591.0,3.5,115045,39419.0
McLaren,600LT,2021,4.0,592.0,2.9,256500,36565.0
BMW,M2 Competition,2022,3.0,405.0,4.0,59895,38354.0
Mercedes-Benz,S63 AMG,2021,4.0,603.0,3.4,152500,30256.0
Chevrolet,Camaro ZL1,2021,6.0,650.0,3.5,64695,29808.0
Dodge,Challenger SRT Hellcat,2022,6.0,717.0,3.5,69995,45110.0
Ford,GT,2022,4.0,660.0,2.9,500000,41361.0
Lamborghini,Urus,2021,4.0,641.0,3.2,218009,36565.0
Ferrari,812 Superfast,2021,6.0,789.0,2.9,363730,36565.0
Audi,R8 Spyder,2022,5.0,562.0,3.5,183300,39419.0
McLaren,GT,2021,4.0,612.0,3.1,210000,36565.0
BMW,M4,2022,3.0,473.0,4.1,73795,44750.0
Mercedes-Benz,AMG GT R,2021,4.0,577.0,3.5,183000,30256.0
Chevrolet,Corvette Stingray,2021,6.0,495.0,2.9,60995,29808.0
Aston Martin,DB11,2022,5.0,630.0,3.5,207000,35997.0
Bentley,Continental GT,2022,6.0,626.0,3.5,203825,35997.0
Jaguar,F-Type R,2021,5.0,575.0,3.5,103200,36607.0
Acura,NSX,2022,4.0,573.0,2.7,157500,70741.0
Lotus,Evora GT,2021,4.0,416.0,3.7,99800,36565.0
Porsche,Cayman GT4,2021,4.0,414.0,4.2,100200,38140.0
Alfa Romeo,4C,2020,2.0,237.0,4.1,67150,34149.0
Audi,RS5,2022,3.0,444.0,3.7,77250,35000.0
BMW,M2 Competition,2021,3.0,405.0,4.0,58900,38354.0
Chevrolet,Camaro ZL1,2021,6.0,650.0,3.5,64695,29808.0
Dodge,Charger SRT Hellcat,2022,6.0,717.0,3.6,71490,45110.0
Ford,GT,2022,4.0,660.0,2.8,500000,41361.0
Lexus,LC 500,2022,5.0,471.0,4.4,92950,57561.0
Maserati,GranTurismo,2020,5.0,454.0,4.8,150400,34149.0
Nissan,370Z Nismo,2021,4.0,350.0,4.6,47820,46558.0
Rolls-Royce,Wraith,2022,7.0,624.0,4.4,330000,35997.0
Subaru,WRX STI,2021,2.0,310.0,4.6,38170,14571.0
Porsche,Cayman GT4,2021,4.0,414.0,4.2,102000,38140.0
Lamborghini,Aventador,2021,6.0,729.0,2.9,393695,36565.0
Ferrari,Portofino,2022,4.0,591.0,3.3,218750,35997.0
Audi,RS7,2021,4.0,591.0,3.5,114000,39419.0
McLaren,600LT,2021,4.0,592.0,2.8,256500,36565.0
BMW,M2,2022,3.0,405.0,4.0,58900,42857.0
Mercedes-Benz,AMG GT,2021,4.0,523.0,3.8,118500,30256.0
Chevrolet,Camaro SS,2021,6.0,455.0,4.1,40590,29808.0
Ford,Mustang Mach 1,2021,5.0,480.0,4.0,52720,41361.0
Nissan,370Z Nismo,2021,4.0,350.0,4.6,45000,46558.0
Porsche,Panamera Turbo,2022,4.0,620.0,3.1,174300,38140.0
Lamborghini,Urus,2021,4.0,641.0,3.2,222004,36565.0
Ferrari,SF90 Stradale,2022,4.0,986.0,2.5,625000,35997.0
Audi,TT RS,2022,2.0,394.0,3.4,67895,39419.0
McLaren,GT,2021,4.0,612.0,3.1,210000,36565.0
Dodge,Challenger SRT Hellcat,2021,6.0,717.0,3.5,62290,45110.0
Aston Martin,DBS Superleggera,2021,5.0,715.0,3.2,304995,36565.0
Jaguar,F-Type R,2021,5.0,575.0,3.5,103200,36607.0
Lexus,LC 500,2022,5.0,471.0,4.4,93050,57561.0
Porsche,Cayman GT4,2022,4.0,414.0,4.2,101200,38140.0
BMW,M2 Competition,2022,3.0,405.0,4.0,59895,38354.0
Audi,RS 5 Coupe,2021,3.0,444.0,3.7,75100,39419.0
Chevrolet,Camaro ZL1,2021,6.0,650.0,3.5,64195,29808.0
Lotus,Evora GT,2022,4.0,416.0,3.8,105000,35997.0
McLaren,GT,2021,4.0,612.0,3.1,211000,36565.0
Mercedes-Benz,SLS AMG Black Series,2014,6.0,622.0,3.5,275000,30256.0
Bugatti,Chiron,2021,8.0,1500.0,2.4,2998000,36565.0
Koenigsegg,Jesko,2021,5.0,1280.0,2.5,3000000,36565.0
Ferrari,SF90 Stradale,2021,4.0,986.0,2.5,625000,36565.0
Lamborghini,Aventador SVJ,2020,6.0,770.0,2.8,573966,34149.0
Pagani,Huayra Roadster BC,2021,6.0,791.0,2.5,3500000,36565.0
Acura,NSX,2022,4.0,573.0,2.9,157500,70741.0
Aston Martin,Vantage,2021,4.0,503.0,3.5,146000,36565.0
Bentley,Continental GT,2022,4.0,542.0,3.9,219800,35997.0
Dodge,Challenger SRT Hellcat,2022,6.0,717.0,3.5,70000,45110.0
Jaguar,F-Type,2022,2.0,296.0,5.4,61600,27244.0
Kia,Stinger,2022,3.0,368.0,4.7,52200,35997.0
Lotus,Evora GT,2021,4.0,416.0,3.8,100450,36565.0
Maserati,GranTurismo,2021,5.0,454.0,4.8,134300,36565.0
Porsche,718 Cayman GT4,2022,4.0,414.0,4.2,102550,38140.0
Alfa Romeo,Giulia Quadrifoglio,2021,3.0,505.0,3.8,76400,36565.0
Audi,RS7,2021,4.0,591.0,3.5,114000,39419.0
BMW,M5,2022,4.0,600.0,3.2,103500,19000.0
Chevrolet,Camaro ZL1,2022,6.0,650.0,3.5,69000,29808.0
Ford,GT,2022,4.0,660.0,3.0,500000,41361.0
Lamborghini,Aventador,2021,6.0,770.0,2.8,417826,36565.0
McLaren,Artura,2021,3.0,671.0,3.0,225000,36565.0
Mercedes-Benz,SLS AMG,2021,4.0,577.0,3.6,247500,30256.0
Nissan,370Z Nismo,2021,4.0,350.0,4.8,45790,46558.0
Aston Martin,DBS Superleggera,2022,5.0,715.0,3.2,307820,35997.0
Bentley,Continental GT,2022,4.0,542.0,3.4,207825,35997.0
Bugatti,Chiron,2021,8.0,1479.0,2.3,2998000,36565.0
McLaren,570S,2021,4.0,562.0,3.1,202500,36565.0
Lamborghini,Aventador S,2021,6.0,730.0,2.9,417826,36565.0
Ferrari,F8 Tributo,2022,4.0,710.0,2.8,276550,35997.0
Audi,RS 7,2022,4.0,591.0,3.5,114000,39419.0
BMW,M2 CS,2022,3.0,444.0,4.0,84595,38354.0
Mercedes-Benz,SLS AMG,2021,6.0,622.0,3.2,275000,30256.0
Chevrolet,Camaro ZL1,2021,6.0,650.0,3.5,63000,29808.0
Ford,GT,2022,4.0,660.0,3.0,500000,41361.0
Jaguar,F-Type,2021,5.0,575.0,3.5,103200,27244.0
Lotus,Evora GT,2021,4.0,416.0,3.8,96950,36565.0
Maserati,GranTurismo,2022,5.0,454.0,4.8,134300,35997.0
McLaren,765LT,2021,4.0,755.0,2.8,358000,36565.0
Nissan,370Z,2021,4.0,332.0,5.0,30000,54517.0
Pagani,Huayra,2021,6.0,730.0,3.0,2600000,36565.0
Porsche,Panamera Turbo S,2021,4.0,620.0,2.9,180000,38140.0
Aston Martin,DB11,2021,4.0,503.0,4.0,201495,36565.0
Dodge,Challenger Hellcat Redeye,2022,6.0,797.0,3.4,82190,45110.0
Lotus,Evora,2021,4.0,416.0,3.8,96950,36565.0
Acura,NSX,2021,4.0,573.0,2.7,159495,70741.0
Alfa Romeo,Giulia Quadrifoglio,2021,3.0,505.0,3.8,76950,36565.0
Bentley,Continental GT,2021,6.0,626.0,3.3,202500,36565.0
Jaguar,F-Type,2022,3.0,380.0,4.9,70100,27244.0
Koenigsegg,Jesko,2022,5.0,1280.0,2.5,3000000,35997.0
Lexus,LC 500,2021,5.0,471.0,4.4,92950,57561.0
Maserati,GranTurismo,2022,5.0,454.0,4.8,132795,35997.0
McLaren,GT,2022,4.0,612.0,3.1,215500,35997.0
Mercedes-AMG,C 63 S Coupe,2022,4.0,503.0,3.7,80900,35997.0
Porsche,718 Cayman,2021,2.0,300.0,4.9,59900,38140.0
Rolls-Royce,Wraith,2021,7.0,624.0,4.3,330000,36565.0
Chevrolet,Camaro SS,2021,6.0,455.0,4.0,40000,29808.0
Ford,GT,2022,4.0,660.0,3.0,500000,41361.0
Acura,NSX,2022,4.0,573.0,2.7,157500,70741.0
Aston Martin,DB11,2021,5.0,630.0,3.7,209000,36565.0
Bentley,Continental GT,2022,4.0,542.0,3.9,202500,35997.0
Bugatti,Chiron,2021,8.0,1500.0,2.4,3000000,36565.0
Dodge,Challenger Hellcat,2022,6.0,717.0,3.5,67500,45110.0
Jaguar,F-Type,2021,5.0,575.0,3.5,103200,27244.0
Koenigsegg,Jesko,2022,5.0,1280.0,2.5,2800000,35997.0
Lexus,LC,2021,5.0,471.0,4.4,92950,38750.0
Lotus,Evora GT,2021,4.0,416.0,3.8,104200,36565.0
Maserati,GranTurismo,2021,5.0,454.0,4.7,133050,36565.0
McLaren,570S,2021,4.0,562.0,3.1,196350,36565.0
Mercedes-Benz,AMG C63,2022,4.0,503.0,3.8,69900,30256.0
Pagani,Huayra BC,2021,6.0,791.0,2.7,2600000,36565.0
Porsche,Cayman GT4,2022,4.0,414.0,4.2,102900,38140.0
Rolls-Royce,Wraith,2021,7.0,624.0,4.4,338000,36565.0
Acura,NSX,2022,4.0,573.0,2.7,157500,70741.0
Aston Martin,Vantage,2021,4.0,503.0,3.5,150000,36565.0
Bentley,Continental GT,2021,6.0,626.0,3.6,218400,36565.0
Dodge,Challenger SRT Hellcat Redeye,2021,6.0,797.0,3.5,73000,45110.0
Jaguar,F-Type R,2022,5.0,575.0,3.5,103200,36607.0
Lexus,LC 500,2021,5.0,471.0,4.4,92950,57561.0
Lotus,Evora GT,2021,4.0,416.0,3.8,104970,36565.0
Maserati,GranTurismo,2021,5.0,454.0,4.8,132400,36565.0
Porsche,Cayman GT4,2021,4.0,414.0,4.2,101200,38140.0
Alpine,A110,2021,2.0,288.0,4.4,71500,36565.0
Audi,RS7,2021,4.0,591.0,3.5,114000,39419.0
BMW,M4,2021,3.0,473.0,4.1,71800,44750.0
Chevrolet,Camaro ZL1,2021,6.0,650.0,3.5,64195,29808.0
Dodge,Viper,2017,8.0,645.0,3.3,118795,45110.0
Ferrari,Portofino,2021,4.0,591.0,3.5,218750,36565.0
Jaguar,F-Type,2022,3.0,296.0,5.4,61600,27244.0
Lamborghini,Aventador SVJ,2021,6.0,770.0,2.8,517700,36565.0
McLaren,600LT,2021,4.0,592.0,2.8,240000,36565.0
Aston Martin,DB11,2021,5.0,630.0,3.5,221400,36565.0
Bentley,Continental GT,2021,6.0,626.0,3.6,202500,36565.0
Bugatti,Chiron,2022,8.0,1500.0,2.4,3000000,35997.0
Dodge,Challenger SRT Hellcat,2021,6.0,717.0,3.5,64100,45110.0
Jaguar,F-Type R,2022,5.0,575.0,3.5,103200,36607.0
Koenigsegg,Jesko,2022,5.0,1280.0,2.5,2800000,35997.0
Lexus,LC 500,2021,5.0,471.0,4.4,92950,57561.0
Lotus,Evora GT,2021,4.0,416.0,3.8,100450,36565.0
Maserati,GranTurismo,2021,5.0,454.0,4.8,150980,36565.0
McLaren,Artura,2022,3.0,671.0,3.0,225000,35997.0
Mercedes-AMG,C 63 S,2022,4.0,503.0,3.7,81550,35997.0
Pagani,Huayra,2021,6.0,764.0,2.8,3500000,36565.0
Porsche,Cayman GT4,2021,4.0,414.0,4.2,102550,38140.0
Rolls-Royce,Wraith,2021,7.0,624.0,4.4,330000,36565.0
Toyota,Supra,2022,3.0,382.0,3.9,43090,22857.0
Acura,NSX,2021,4.0,573.0,2.7,157500,70741.0
Aston Martin,Vantage,2021,4.0,503.0,3.5,146000,36565.0
Bentley,Continental GT,2022,4.0,542.0,3.9,207825,35997.0
Dodge,Challenger SRT Hellcat,2021,6.0,717.0,3.5,64195,45110.0
Jaguar,F-Type,2022,3.0,380.0,4.8,62250,27244.0
Lexus,LC 500,2022,5.0,471.0,4.4,92000,57561.0
Lotus,Evora GT,2021,4.0,416.0,3.8,105000,36565.0
Maserati,GranTurismo,2022,5.0,454.0,4.7,134300,35997.0
McLaren,570S,2022,4.0,562.0,2.9,204550,35997.0
Porsche,Cayman GT4,2021,4.0,414.0,4.2,102000,38140.0
Audi,RS 5,2021,3.0,444.0,3.5,75100,39419.0
BMW,M2 Competition,2022,3.0,405.0,4.0,59895,38354.0
Chevrolet,Camaro ZL1,2021,6.0,650.0,3.5,64995,29808.0
Dodge,Viper ACR,2017,8.0,645.0,3.3,126190,45110.0
Ford,GT,2021,4.0,660.0,2.9,500000,41361.0
Porsche,Taycan 4S,2022,2.0,482.0,3.8,102900,38140.0
Lamborghini,Aventador S,2021,6.0,730.0,2.9,417650,36565.0
Aston Martin,DB11,2021,5.0,630.0,3.5,205000,36565.0
Alfa Romeo,Giulia Quadrifoglio,2022,3.0,505.0,3.8,81250,35997.0
Audi,RS7 Sportback,2022,4.0,591.0,3.5,115045,39419.0
BMW,M4 Competition,2021,3.0,503.0,3.9,75695,38354.0
Chevrolet,Camaro SS,2022,6.0,455.0,4.1,42000,29808.0
Dodge,Charger Hellcat,2021,6.0,717.0,3.6,71490,45110.0
Ferrari,F8 Tributo,2021,4.0,710.0,2.9,274280,36565.0
Ford,GT,2021,4.0,660.0,2.8,500000,41361.0
Jaguar,F-Type R,2021,5.0,575.0,3.5,103200,36607.0
Koenigsegg,Jesko Absolut,2022,5.0,1600.0,2.1,2800000,35997.0
Lexus,LC 500,2021,5.0,471.0,4.4,93050,57561.0
McLaren,GT,2022,4.0,612.0,3.2,210000,35997.0
